postcode,start_time,status,data_source,extracted_at
"EX37 9TT, EX37 9TU",2025-11-14T15:33:00,In Progress,national_grid,2025-11-18T17:54:10.948115
BS20 6NB,2025-11-14T15:18:00,In Progress,national_grid,2025-11-18T17:54:10.948122
BA1 6TL,2025-11-14T14:35:00,In Progress,national_grid,2025-11-18T17:54:10.948124
"TQ12 4QS, TQ12 4QT",2025-10-22T08:59:00,In Progress,national_grid,2025-11-18T17:54:10.948125
"BS23 3XQ, BS23 3XG",2025-11-14T15:06:00,In Progress,national_grid,2025-11-18T17:54:10.948126
"TA1 5HN, TA1 5EB, TA1 5ED, TA1 5EE, TA1 5EF, TA1 5HF, TA1 5ET, TA1 5EG",2025-11-14T18:27:00,In Progress,national_grid,2025-11-18T17:54:10.948127
"BS21 7AF, BS21 7AG, BS21 6RW, BS21 6RH, BS21 7AE, BS21 6SU",2025-11-14T20:47:00,In Progress,national_grid,2025-11-18T17:54:10.948128
"EX8 4RW, EX8 4SF, EX8 4SD, EX8 4RN, EX8 4RH, EX8 4SE",2025-11-14T22:49:00,In Progress,national_grid,2025-11-18T17:54:10.948129
"EX23 9HA, EX23 8SF",2025-11-14T15:52:00,In Progress,national_grid,2025-11-18T17:54:10.948130
"TA23 0UE, TA23 0TG, TA23 0JW, TA23 0DJ, TA23 0EW, TA23 0DW, TA23 0DN, TA23 0TE, TA23 0EL, TA23 0DQ, TA23 0ER",2025-11-14T16:13:00,In Progress,national_grid,2025-11-18T17:54:10.948131
"BS48 4AP, BS48 4DD, BS48 4DT",2025-11-14T15:48:00,Awaiting,national_grid,2025-11-18T17:54:10.948132
"BS23 2HJ, BS23 2HR, BS23 2HL",2025-11-14T21:56:00,Awaiting,national_grid,2025-11-18T17:54:10.948133
"TA6 4EJ, TA6 4DU, TA6 4EZ, TA6 4FA",2025-11-14T20:22:00,In Progress,national_grid,2025-11-18T17:54:10.948134
"TA6 6BH, TA6 6ZF, TA6 6BQ",2025-11-14T18:39:00,In Progress,national_grid,2025-11-18T17:54:10.948135
"BS22 6RP, BS22 6RY, BS22 6RU, BS22 6RX, BS22 6RT, BS22 6RW",2025-11-14T18:07:00,In Progress,national_grid,2025-11-18T17:54:10.948136
"SA33 5PX, SA33 5PU, SA33 5QS, SA33 5PJ, SA33 5PY",2025-11-14T15:46:00,In Progress,national_grid,2025-11-18T17:54:10.948137
"SY25 6PE, SY25 6SB, SY25 6PF, SY25 6NY, SY25 6PQ, SY25 6PG, SY25 6PH, SY25 6UH, SY25 6NZ",2025-11-14T18:27:00,In Progress,national_grid,2025-11-18T17:54:10.948138
"NP25 5PY, NP25 5QB, NP25 5SY, NP25 5SR, NP25 5SU, NP25 5PZ, NP25 5NH, NP25 5QE, NP25 5QD, NP25 5ST, NP25 5QA, NP5 4ET, NP25 5AT",2025-11-14T17:03:00,In Progress,national_grid,2025-11-18T17:54:10.948139
"NP4 7JG, NP4 7HX, NP4 7JQ, NP4 7JL, NP4 7JA, NP4 7JT, NP4 7JP, NP4 7JD, NP4 7JR, NP4 7JW, NP4 7JY, NP4 7LD, NP4 7JB, NP4 7JU",2025-11-14T16:23:00,In Progress,national_grid,2025-11-18T17:54:10.948140
SA38 9LZ,2025-11-14T15:51:00,In Progress,national_grid,2025-11-18T17:54:10.948141
"CF5 1JP, CF5 1LY, CF5 1LX, CF5 1HD, CF5 1HF, CF5 1LL, CF5 1LN, CF5 1NE, CF5 1NG, CF5 1JT, CF5 1LJ, CF5 1LZ, CF5 1NA, CF5 1JH",2025-11-14T16:46:00,In Progress,national_grid,2025-11-18T17:54:10.948142
"ST8 7AW, ST8 7AG, ST8 7AL",2025-11-14T18:34:00,Awaiting,national_grid,2025-11-18T17:54:10.948143
"ST3 6RQ, ST3 6QJ, ST11 9EG, ST3 6PT, ST11 9EU, ST3 6PP, ST3 6RF, ST3 6RB, ST3 6SR, ST3 6PX, ST3 6PW, ST3 6PU, ST3 6RH, ST3 6QG, ST3 6QH, ST3 6PN, ST11 9ET, ST3 6QS, ST11 9ES, ST3 5BD, ST3 6QQ, ST3 6PR, ST3 6SL, ST11 9EX, ST3 6QU, ST11 9GA, ST3 6RA, ST3 6PS, ST3 6QP, ST11 9EY, ST3 6RG, ST3 5BE, ST3 6QR, ST3 6QL, ST3 5BG, ST3 6QW, ST11 9DX, ST3 6QX, ST3 6QT, ST11 9EQ",2025-11-14T18:22:00,Awaiting,national_grid,2025-11-18T17:54:10.948144
"WR14 4BX, WR14 4AZ",2025-11-14T19:15:00,In Progress,national_grid,2025-11-18T17:54:10.948145
"TF3 1BU, TF3 1DT",2025-11-14T14:25:00,In Progress,national_grid,2025-11-18T17:54:10.948146
"SK11 0RA, SK11 0RW, SK11 0RP, SK11 0RB, SK11 0RH, ST13 8PW",2025-11-14T13:23:00,In Progress,national_grid,2025-11-18T17:54:10.948147
"DY10 4PD, DY10 4PF, DY10 4NJ, DY10 4NH, DY10 4PE, DY10 4NL",2025-11-14T13:27:00,In Progress,national_grid,2025-11-18T17:54:10.948148
"DY3 2DR, DY3 2DP, DY3 2DW, DY3 2DU, DY3 2DN",2025-11-14T20:12:00,In Progress,national_grid,2025-11-18T17:54:10.948149
"B90 1LB, B90 1JT, B90 1JN, B90 1JS, B90 1LA, B90 1JU, B90 1HR",2025-11-14T20:28:00,In Progress,national_grid,2025-11-18T17:54:10.948150
"WS11 1TA, WS11 1SZ, WS11 1TB",2025-11-14T20:45:00,In Progress,national_grid,2025-11-18T17:54:10.948151
"HR7 4DR, HR7 4DU, HR7 4EH, HR7 4DT, HR7 4DZ, HR7 4DS",2025-11-14T22:34:00,In Progress,national_grid,2025-11-18T17:54:10.948152
B71 2HQ,2025-11-14T19:04:00,In Progress,national_grid,2025-11-18T17:54:10.948153
"WV15 5PH, WV15 5PJ, WV15 5PL, WV15 5PU, WV15 5PE, WV15 5PX, WV15 5PD",2025-11-14T20:01:00,In Progress,national_grid,2025-11-18T17:54:10.948154
"B70 6PY, B70 6PX, B70 6RB, B70 6RH, WS13 8TL, B70 6QT",2025-11-14T21:19:00,Awaiting,national_grid,2025-11-18T17:54:10.948155
"BS30 5JG, BS30 5AE",2025-11-14T22:12:00,Awaiting,national_grid,2025-11-18T17:54:10.948156
"ST10 3AN, ST10 3AL, ST10 3AW",2025-11-14T18:32:00,Awaiting,national_grid,2025-11-18T17:54:10.948157
"SK11 0QU, SK11 0RS, SK11 0SQ, SK11 0SE, SK11 0RN, SK11 0RU, SK11 0QY, CW12 3QJ, SK11 0RX, SK11 0SG, SK11 0SA, CW12 3QQ, SK11 0SD, SK11 0QT, SK11 0SF, SK11 0QX, CW12 3QF, SK11 0RH, SK11 0RT, SK11 0RL, SK11 0RG",2025-11-14T15:28:00,In Progress,national_grid,2025-11-18T17:54:10.948158
"WS13 8HH, WS13 8HJ",2025-11-14T15:47:00,In Progress,national_grid,2025-11-18T17:54:10.948159
OX16 3WQ,2025-11-14T08:45:00,In Progress,national_grid,2025-11-18T17:54:10.948160
"B32 1NY, B32 1LR, B32 1PA",2025-11-14T20:45:00,In Progress,national_grid,2025-11-18T17:54:10.948161
"ST13 6PS, ST13 6QU, ST13 6NZ, ST13 6BU, ST13 6PA, ST13 6BH, ST13 6BT, ST13 6PP, ST13 6BS, ST13 6BX, ST13 6PH, ST13 6PW, ST13 6PR, ST13 6NY, ST13 6PT, ST13 6PB, ST13 6QW, ST13 6BP, ST13 6NU, ST13 6BQ, ST13 8SH, ST13 8TH, ST13 6NX, ST13 6AT",2025-11-14T17:42:00,In Progress,national_grid,2025-11-18T17:54:10.948162
"DY10 4RE, DY10 4RF, DY10 4RG, DY10 4RQ, DY10 4RD",2025-11-14T12:08:00,In Progress,national_grid,2025-11-18T17:54:10.948163
"B94 6QX, B94 6QY, B94 5NJ, B94 6QU, B94 5RP",2025-11-14T12:57:00,In Progress,national_grid,2025-11-18T17:54:10.948164
"WV6 7HX, WV6 7HY, WV6 7HU",2025-11-14T12:56:00,In Progress,national_grid,2025-11-18T17:54:10.948165
ST15 8US,2025-11-14T13:51:00,Awaiting,national_grid,2025-11-18T17:54:10.948166
"B45 0BQ, B45 0ET, B45 0DA, B45 0DF, B45 0ES, B45 0BD, B45 0DE, B45 0BG, B45 0BE, B45 0DL",2025-11-14T18:12:00,Awaiting,national_grid,2025-11-18T17:54:10.948167
"B62 8HL, B62 8HH, B65 0HE, B62 8LE, B62 8HJ, B62 8HU",2025-11-14T22:24:00,Awaiting,national_grid,2025-11-18T17:54:10.948168
"B76 1YB, B76 1XS, B76 1XR, B76 1YA, B76 1XU, B76 1FG",2025-11-14T22:53:00,Awaiting,national_grid,2025-11-18T17:54:10.948169
"CV37 8BU, CV37 8BS",2025-11-14T06:39:00,In Progress,national_grid,2025-11-18T17:54:10.948170
ST11 9RQ,2025-11-14T14:11:00,In Progress,national_grid,2025-11-18T17:54:10.948171
"B20 2AN, B20 2DZ, B20 2DY, B20 2ED, B20 2DR, B20 2EA",2025-11-14T19:58:00,In Progress,national_grid,2025-11-18T17:54:10.948172
BS15 3LE,2025-11-14T16:58:00,In Progress,national_grid,2025-11-18T17:54:10.948173
"B49 6BE, B49 6BB, B49 6AR, B49 6BN, B49 6BA, B49 6RW, B49 6AE, B49 6BQ, B49 6BD, B49 6AF, B49 6AS, B49 6RN, B49 6GA, B49 6BG, B49 6GG",2025-11-14T17:32:00,In Progress,national_grid,2025-11-18T17:54:10.948174
"TF8 7BH, TF8 7BQ, TF8 7QG, TF8 7DU, TF8 7PZ, TF8 7NP, TF8 7NY, TF8 7QL, TF8 7QQ, TF8 7NR, TF8 7QS, TF8 7QB, TF8 7DT, TF8 7NX, TF8 7PX, TF8 7QE, TF8 7QU, TF8 7DL, TF8 7BF, TF8 7QW, TF7 5LE, TF8 7QN, TF8 7NF, TF8 7PW, TF8 7QT, TF8 7QA, TF8 7BG, TF8 7PA, TF8 7QR, TF8 7PY, TF8 7QD, TF8 7QJ, TF8 7QP, TF8 7FP, TF8 7QH, TF8 7QX, TF8 7NT, TF8 7AU, TF8 7NE",2025-11-14T22:21:00,In Progress,national_grid,2025-11-18T17:54:10.948175
"DY13 9TD, DY13 9TB, DY13 9TE",2025-11-14T12:32:00,In Progress,national_grid,2025-11-18T17:54:10.948176
"GL50 4TE, GL50 4SX, GL50 4SU, GL50 4RA",2025-11-14T17:53:00,Awaiting,national_grid,2025-11-18T17:54:10.948177
